release_year,avg
1942,35
1943,62
1944,52
1945,51
1946,76
1947,42
1954,120
1955,111
1956,98
1958,111
1959,143
1960,143
1962,167
1964,228
1965,151
1966,116
1967,91
1968,149
1969,140
1970,66
1971,132
1972,110
1973,108
1974,110
1975,110
1976,119
1977,132
1978,100
1979,115
1980,122
1981,109
1982,114
1983,113
1984,115
1985,109
1986,107
1987,89
1988,101
1989,113
1990,101
1991,84
1992,103
1993,116
1994,124
1995,116
1996,119
1997,116
1998,101
1999,122
2000,112
2001,116
2002,120
2003,116
2004,119
2005,112
2006,111
2007,110
2008,106
2009,108
2010,103
2011,102
2012,100
2013,98
2014,99
2015,99
2016,94
2017,94
2018,95
2019,90
2020,103
